ds,yhat,yhat_lower,yhat_upper
2022-10-29,2010464.1403687121,1781751.9144270997,2229032.3668277585
2022-10-30,1987794.2796720515,1742416.6076757319,2223934.3144654916
2022-10-31,1775050.5034036667,1540996.2824982097,1990710.993685418
2022-11-01,1707246.9081786189,1473503.621144368,1921719.917968538
2022-11-02,1736563.1368528125,1509818.9369214587,1956867.7135072849
2022-11-03,1750515.2859834163,1511833.3782745528,1980864.3434620423
2022-11-04,1763922.4500816509,1536427.35675472,1999136.4829281126
2022-11-05,1951039.8415034611,1750597.585217932,2183717.358822571
2022-11-06,1962175.4601229078,1739454.673798406,2200747.1378094624
2022-11-07,1783196.0645151658,1542611.1026444167,1997341.5222175564
2022-11-08,1732529.0643648666,1508805.5838107504,1951993.930993197
2022-11-09,1751245.958959845,1527890.6026530287,1987834.9232617225
2022-11-10,1729030.0271867933,1483971.3992497222,1950209.336614465
2022-11-11,1695612.7461864015,1487326.6879292885,1921914.2160894605
2022-11-12,1844229.2055268453,1603157.7803486,2063286.9513413566
2022-11-13,1838242.2406571824,1605711.5997033364,2067147.198735217
2022-11-14,1666350.784064138,1416962.5765276607,1904600.2494754847
2022-11-15,1642797.1248139697,1423767.6328887336,1881452.8117814758
2022-11-16,1703154.195470092,1494367.6326165998,1943518.7094753
2022-11-17,1732238.9543272369,1517695.9548445295,1971383.0853263822
2022-11-18,1752901.9642265898,1509899.6874834292,1990635.4428227409
2022-11-19,1947037.2148533086,1714851.6488800806,2184537.2246109345
2022-11-20,1965264.565205977,1722978.191180185,2206496.134010633
2022-11-21,1790046.4025166852,1564323.768243495,2030749.25962652
2022-11-22,1742445.647143284,1518416.614944778,1973249.8440452183
2022-11-23,1776236.351790053,1526233.7342104735,1998661.3650468572
2022-11-24,1795304.3887836963,1553097.8401713783,2034680.4434334415
2022-11-25,1830492.7052059243,1580384.2727621782,2058759.4231783343
2022-11-26,2056248.3844198964,1807868.4566234448,2275685.171063267
2022-11-27,2106654.4569260147,1867069.5821954967,2330401.3247382287
2022-11-28,1949924.9269717995,1723363.5780758352,2194006.372958343
2022-11-29,1902947.0527590897,1680102.787261742,2134457.8698383714
2022-11-30,1924778.6752463777,1701619.2215712098,2148128.0404146584
2022-12-01,1927614.7040017624,1703728.3974689282,2159163.2396037057
2022-12-02,1948291.5387001275,1714057.4156770157,2171333.3744770675
2022-12-03,2164640.948311389,1955600.040427903,2382490.6052053613
2022-12-04,2214198.895492867,1978001.4004457765,2422065.0275779883
2022-12-05,2068939.3235178734,1836810.7177445146,2316538.3244368164
2022-12-06,2045883.7697088206,1817485.1096374532,2274833.672987775
2022-12-07,2096155.3860289645,1850647.7954940796,2338890.3692437643
2022-12-08,2116619.4468532107,1889913.099665523,2349395.6842203485
2022-12-09,2129094.765676905,1896652.4633010156,2373278.6687842724
2022-12-10,2306508.713602796,2062231.8195061286,2523878.548694452
2022-12-11,2295834.8950621183,2059234.3167285307,2511850.087739639
2022-12-12,2087602.129150912,1861160.0394469816,2317568.3286660663
2022-12-13,2016067.3332177626,1787759.9690229085,2255900.2156047723
2022-12-14,2040574.7976958682,1818127.5074461538,2266654.256044946
2022-12-15,2056949.2519856272,1823955.119881828,2288900.9881281527
2022-12-16,2081943.1635721244,1842276.7034472115,2304170.5257015736
2022-12-17,2283718.7952655656,2059741.8709209578,2511254.6884611147
